,Servers,Values
0,1 server(s),3.4726352156858216
1,1 server(s),4.86454309519521
2,1 server(s),5.538822287931918
3,1 server(s),4.403648397661844
4,1 server(s),5.462900668849131
5,1 server(s),3.9194210936186282
6,1 server(s),4.6208755152149665
7,1 server(s),5.010924567844171
8,1 server(s),3.7938679509480298
9,1 server(s),3.7319326470578993
10,1 server(s),5.610180780643905
11,1 server(s),4.469242803169856
12,1 server(s),6.593637323185363
13,1 server(s),6.156479474715872
14,1 server(s),5.165502167577275
15,1 server(s),4.5779915679781675
16,1 server(s),4.19090774425489
17,1 server(s),4.585390675917906
18,1 server(s),4.645542679259229
19,1 server(s),6.991837637213718
20,1 server(s),4.534507726789491
21,1 server(s),6.736626528536602
22,1 server(s),6.295855735074538
23,1 server(s),5.2797436724127955
24,1 server(s),4.179810610642912
25,1 server(s),4.283082703088845
26,1 server(s),5.560254635025627
27,1 server(s),4.896147375347936
28,1 server(s),3.350916361700624
29,1 server(s),5.571045481577977
30,1 server(s),4.002434953437956
31,1 server(s),5.4222330387393916
32,1 server(s),4.893296590783722
33,1 server(s),5.108526981643301
34,1 server(s),3.8823874367077322
35,1 server(s),4.746730410012077
36,1 server(s),5.51135644746441
37,1 server(s),6.190157662115969
38,1 server(s),3.6505998226660803
39,1 server(s),4.741785778789457
40,1 server(s),4.435306060503547
41,1 server(s),4.201978040459612
42,1 server(s),4.758413342607925
43,1 server(s),5.560254635025627
44,1 server(s),4.896147375347936
45,1 server(s),3.350916361700624
46,1 server(s),5.571045481577977
47,1 server(s),4.002434953437956
48,1 server(s),5.4222330387393916
49,1 server(s),4.893296590783722
50,1 server(s),5.108526981643301
51,1 server(s),3.8823874367077322
52,1 server(s),4.746730410012077
53,1 server(s),5.51135644746441
54,1 server(s),6.190157662115969
55,1 server(s),3.6505998226660803
56,1 server(s),4.741785778789457
57,1 server(s),4.435306060503547
58,1 server(s),4.201978040459612
59,1 server(s),4.758413342607925
60,1 server(s),5.560254635025627
61,1 server(s),4.896147375347936
62,1 server(s),3.350916361700624
63,1 server(s),5.571045481577977
64,1 server(s),4.002434953437956
65,1 server(s),5.4222330387393916
66,1 server(s),4.893296590783722
67,1 server(s),5.108526981643301
68,1 server(s),3.8823874367077322
69,1 server(s),4.746730410012077
70,1 server(s),5.51135644746441
71,1 server(s),6.190157662115969
72,1 server(s),3.6505998226660803
73,1 server(s),4.741785778789457
74,1 server(s),4.435306060503547
75,1 server(s),4.201978040459612
76,1 server(s),4.758413342607925
77,1 server(s),5.560254635025627
78,1 server(s),4.896147375347936
79,1 server(s),3.350916361700624
80,1 server(s),5.571045481577977
81,1 server(s),4.002434953437956
82,1 server(s),5.4222330387393916
83,1 server(s),4.893296590783722
84,1 server(s),5.108526981643301
85,1 server(s),3.8823874367077322
